CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SeniorCitizen,SupportCalls,StreamingService,PaperlessBilling,Churn
CUST00036,59.0,Female,5,71.07,4132.06,Two year,Fiber optic,Bank transfer,No,2,No,Yes,No
CUST00037,34.0,Male,3,61.67,2232.64,Two year,Fiber optic,Mailed check,No,4,No,Yes,No
CUST00038,23.0,Male,3,41.93,1622.57,Month-to-month,DSL,Bank transfer,No,2,Yes,Yes,No
CUST00039,53.0,Female,1,92.07,839.55,Month-to-month,Fiber optic,Credit card,No,3,No,No,Yes
CUST00040,40.0,Male,2,83.12,1863.64,Month-to-month,DSL,Credit card,No,2,No,Yes,Yes
CUST00041,24.0,Female,6,29.98,2243.17,Month-to-month,Fiber optic,Credit card,No,0,Yes,No,No
CUST00042,43.0,Female,2,,2958.18,Two year,Fiber optic,Bank transfer,No,0,Yes,No,No
CUST00043,20.0,Female,4,75.84,3792.92,Month-to-month,DSL,Bank transfer,No,5,Yes,Yes,No
CUST00044,64.0,Male,9,45.03,4753.0,Month-to-month,No,Electronic check,No,2,No,No,Yes
CUST00045,31.0,Female,5,40.64,2473.59,One year,DSL,Electronic check,Yes,0,Yes,No,No
CUST00046,52.0,Male,5,33.61,1956.7,One year,DSL,Bank transfer,Yes,4,No,No,Yes
CUST00047,34.0,Male,3,62.47,2305.41,Month-to-month,No,Credit card,No,2,No,Yes,No
CUST00048,45.0,Male,5,33.57,1999.52,One year,DSL,Bank transfer,No,3,No,Yes,No
CUST00049,46.0,Female,2,61.59,1528.17,Two year,DSL,Mailed check,No,0,Yes,Yes,Yes
CUST00050,27.0,Male,6,34.89,2497.27,Month-to-month,DSL,Mailed check,No,4,Yes,No,Yes
CUST00051,67.0,Female,6,85.67,6378.14,One year,Fiber optic,Credit card,No,2,Yes,Yes,Yes
CUST00052,58.0,Female,3,98.51,3265.88,Two year,DSL,Mailed check,No,3,No,Yes,No
CUST00053,66.0,Male,1,74.95,760.7,Month-to-month,Fiber optic,Bank transfer,No,0,Yes,Yes,No
CUST00054,64.0,Male,10,88.0,10735.64,Two year,DSL,Bank transfer,Yes,1,No,Yes,Yes
CUST00055,48.0,Female,6,113.82,8356.75,Two year,DSL,Electronic check,No,1,Yes,No,No
CUST00056,65.0,Female,2,83.83,1854.17,Two year,Fiber optic,Mailed check,No,5,Yes,Yes,Yes
CUST00057,23.0,Female,0,56.42,210.37,One year,DSL,Mailed check,No,1,No,No,No
CUST00058,28.0,Male,1,64.95,705.85,Two year,Fiber optic,Mailed check,No,3,No,No,No
CUST00059,20.0,Male,9,106.04,11440.58,Two year,Fiber optic,Mailed check,No,0,Yes,Yes,Yes
CUST00060,,Male,8,33.09,3086.39,Two year,No,Credit card,No,1,No,No,No
CUST00061,38.0,Male,7,52.58,,One year,DSL,Credit card,No,1,No,No,No
CUST00062,32.0,Male,5,77.72,4673.27,Month-to-month,Fiber optic,Bank transfer,Yes,3,No,No,No
CUST00063,60.0,Female,5,87.63,5478.47,Month-to-month,DSL,Mailed check,No,3,Yes,Yes,No
CUST00064,36.0,Male,0,96.34,477.29,Month-to-month,No,Electronic check,No,5,No,Yes,No
CUST00065,32.0,Male,1,51.83,481.64,Month-to-month,No,Bank transfer,No,4,Yes,No,Yes
CUST00066,46.0,Female,3,34.6,1322.7,One year,No,Bank transfer,No,0,Yes,No,No
CUST00067,25.0,Female,2,115.47,2528.43,Two year,DSL,Credit card,No,3,No,No,No
CUST00068,59.0,Male,0,27.66,138.66,Two year,DSL,Bank transfer,No,2,No,No,No
CUST00069,22.0,Female,7,29.6,2479.79,Two year,Fiber optic,Electronic check,No,4,Yes,No,Yes
CUST00070,68.0,Male,6,69.49,5000.24,Two year,DSL,Mailed check,Yes,0,Yes,No,No
CUST00071,57.0,Male,3,101.91,3377.53,Two year,Fiber optic,Bank transfer,No,3,No,Yes,No
CUST00072,28.0,Male,8,97.44,9369.82,Two year,DSL,Electronic check,No,1,No,Yes,Yes
CUST00073,18.0,Female,10,113.75,13361.61,Month-to-month,Fiber optic,Credit card,No,1,No,No,No
CUST00074,60.0,Male,3,34.17,1194.78,Month-to-month,No,Credit card,No,0,Yes,No,No
CUST00075,54.0,Male,0,57.58,509.73,One year,DSL,Mailed check,No,0,Yes,No,No
CUST00076,55.0,Male,9,48.22,5144.53,Month-to-month,Fiber optic,Bank transfer,No,2,Yes,No,Yes
CUST00077,57.0,Female,0,106.07,835.56,Two year,DSL,Electronic check,No,3,Yes,Yes,No
CUST00078,22.0,Male,0,68.84,417.28,Month-to-month,DSL,Credit card,No,3,No,No,No
CUST00079,36.0,Male,0,22.7,95.68,Month-to-month,DSL,Electronic check,No,1,No,Yes,Yes
CUST00080,24.0,Male,3,90.79,3389.27,Month-to-month,DSL,Credit card,No,1,Yes,No,No
CUST00081,62.0,Male,0,58.87,372.72,One year,DSL,Credit card,No,1,Yes,Yes,Yes
CUST00082,50.0,Female,1,73.11,891.85,One year,Fiber optic,Mailed check,No,4,Yes,Yes,No
CUST00083,35.0,Female,3,109.36,3628.6,Two year,Fiber optic,Electronic check,No,0,Yes,No,No
CUST00084,21.0,Male,6,45.68,3243.67,Month-to-month,DSL,Electronic check,No,2,No,Yes,No
CUST00085,34.0,Male,1,44.04,590.46,One year,No,Electronic check,Yes,0,No,No,No
CUST00086,35.0,Male,7,46.33,3973.92,Two year,No,Credit card,No,2,No,No,Yes
CUST00087,55.0,Male,6,53.82,3976.5,Two year,Fiber optic,Mailed check,Yes,0,Yes,No,Yes
CUST00088,51.0,Male,8,30.75,2866.75,Month-to-month,Fiber optic,Electronic check,No,0,Yes,No,No
CUST00089,63.0,Female,5,89.71,5201.29,Month-to-month,DSL,Bank transfer,No,1,Yes,No,No
CUST00090,42.0,Female,3,40.75,1585.78,Month-to-month,Fiber optic,Electronic check,No,1,No,No,No
CUST00091,24.0,Female,5,112.6,6523.08,Two year,No,Credit card,No,1,Yes,Yes,Yes
CUST00092,54.0,Female,3,41.58,1425.28,Month-to-month,DSL,Mailed check,No,2,No,Yes,Yes
CUST00093,57.0,Female,6,45.57,3364.08,Month-to-month,Fiber optic,Electronic check,No,0,No,No,Yes
CUST00094,47.0,Female,8,49.71,4740.39,Month-to-month,DSL,Electronic check,No,0,No,No,Yes
CUST00095,57.0,Male,2,96.84,2101.29,Two year,Fiber optic,Electronic check,No,1,Yes,No,No
CUST00096,43.0,Female,2,62.76,1365.14,One year,DSL,Bank transfer,No,4,Yes,No,No
CUST00097,45.0,Male,1,101.92,968.52,One year,Fiber optic,Credit card,No,2,No,No,No
CUST00098,40.0,Male,0,98.47,402.17,One year,Fiber optic,Bank transfer,No,3,Yes,Yes,No
CUST00099,19.0,Female,0,112.93,675.55,Month-to-month,DSL,Bank transfer,No,1,No,No,No
CUST00100,24.0,Male,2,95.65,2017.3,Month-to-month,DSL,Credit card,No,1,No,No,No
CUST00101,20.0,Male,6,25.21,1757.14,Month-to-month,No,Credit card,No,0,Yes,Yes,No
CUST00102,50.0,Female,10,103.71,12699.1,Month-to-month,Fiber optic,Electronic check,No,2,No,Yes,No
CUST00103,34.0,Male,8,113.79,11180.92,Two year,Fiber optic,Credit card,No,2,No,Yes,No
CUST00104,44.0,Male,1,119.35,1670.71,One year,Fiber optic,Electronic check,No,4,No,No,Yes
CUST00105,64.0,Female,6,32.54,2383.28,Two year,No,Bank transfer,No,4,No,Yes,Yes
CUST00106,31.0,Female,0,81.32,566.75,Month-to-month,DSL,Electronic check,No,2,Yes,Yes,No
CUST00107,39.0,Female,1,39.96,425.68,Month-to-month,No,Credit card,No,2,Yes,Yes,No
CUST00108,57.0,Male,5,46.26,2729.83,Month-to-month,DSL,Electronic check,No,1,Yes,Yes,No
CUST00109,30.0,Male,10,94.55,11195.96,One year,DSL,Bank transfer,No,1,No,No,Yes
CUST00110,22.0,Female,4,117.75,5991.22,Month-to-month,Fiber optic,Credit card,Yes,4,Yes,No,No
CUST00111,33.0,Female,7,79.48,6740.52,Month-to-month,No,Credit card,Yes,0,Yes,No,No
CUST00112,26.0,Female,10,105.04,12898.89,Two year,DSL,Mailed check,No,6,Yes,Yes,No
CUST00113,65.0,Male,1,20.91,222.27,Two year,Fiber optic,Electronic check,No,2,Yes,Yes,Yes
CUST00114,59.0,Male,0,23.68,159.31,Month-to-month,Fiber optic,Electronic check,No,2,Yes,Yes,No
CUST00115,50.0,Female,6,79.67,5859.92,Month-to-month,DSL,Electronic check,No,1,No,Yes,No
CUST00116,62.0,Male,5,58.9,3390.94,Month-to-month,No,Bank transfer,No,3,Yes,Yes,No
CUST00117,59.0,Female,7,108.96,9261.81,Two year,Fiber optic,Bank transfer,No,2,No,Yes,No
CUST00118,28.0,Male,10,50.21,5925.05,Month-to-month,No,Credit card,No,1,No,No,No
CUST00119,64.0,Female,7,63.21,5244.26,One year,Fiber optic,Credit card,No,1,No,Yes,Yes
CUST00120,46.0,Female,1,72.79,967.88,One year,DSL,Bank transfer,Yes,0,Yes,Yes,Yes
CUST00121,59.0,Female,7,47.31,,Month-to-month,Fiber optic,Electronic check,No,2,No,No,No
CUST00122,64.0,Male,5,110.83,6930.06,Month-to-month,Fiber optic,Electronic check,No,1,Yes,No,Yes
CUST00123,34.0,Female,8,66.45,6276.47,Month-to-month,Fiber optic,Bank transfer,No,3,No,No,No
CUST00124,24.0,Female,6,62.42,4364.48,Month-to-month,DSL,Electronic check,No,3,Yes,No,No
CUST00125,30.0,Male,1,104.96,1156.99,Month-to-month,Fiber optic,Bank transfer,No,1,No,Yes,Yes
CUST00126,40.0,Female,7,51.21,4409.37,One year,No,Electronic check,No,3,Yes,No,No
CUST00127,60.0,Female,8,101.73,9978.52,One year,Fiber optic,Electronic check,Yes,1,Yes,Yes,No
CUST00128,62.0,Female,6,32.24,2296.17,Month-to-month,DSL,Mailed check,No,3,No,No,No
CUST00129,18.0,Female,3,38.29,1449.68,One year,No,Credit card,No,0,Yes,Yes,No
CUST00130,44.0,Male,8,115.07,10754.86,Month-to-month,Fiber optic,Electronic check,Yes,1,No,Yes,Yes
CUST00131,39.0,Male,3,104.23,3444.38,One year,Fiber optic,Electronic check,No,1,Yes,Yes,Yes
CUST00132,29.0,Male,3,58.79,2245.29,Two year,DSL,Bank transfer,No,3,No,Yes,No
CUST00133,24.0,Female,8,83.84,8236.82,Two year,Fiber optic,Mailed check,No,0,No,Yes,No
CUST00134,35.0,Female,7,114.28,9354.95,Month-to-month,No,Mailed check,No,1,Yes,Yes,Yes
CUST00135,66.0,Female,3,41.2,1433.11,One year,DSL,Bank transfer,No,1,No,No,No
CUST00136,34.0,Male,7,25.92,2231.69,Two year,DSL,Bank transfer,No,0,Yes,Yes,No
CUST00137,44.0,Male,7,73.75,6010.43,Month-to-month,DSL,Bank transfer,No,3,Yes,No,Yes
CUST00138,54.0,Female,6,34.27,2542.39,One year,DSL,Electronic check,No,2,Yes,Yes,Yes
CUST00139,37.0,Male,9,38.74,4201.76,Two year,Fiber optic,Bank transfer,No,4,Yes,Yes,No
CUST00140,68.0,Male,5,109.14,6651.29,Month-to-month,DSL,Credit card,No,0,Yes,Yes,No
CUST00141,67.0,Female,7,20.76,1755.65,One year,DSL,Bank transfer,Yes,1,No,No,No
CUST00142,31.0,Male,6,101.67,7370.54,One year,No,Electronic check,No,3,Yes,No,Yes
CUST00143,43.0,Male,4,71.69,3305.86,Month-to-month,Fiber optic,Credit card,No,3,Yes,No,Yes
CUST00144,33.0,Male,3,75.93,2613.13,Month-to-month,DSL,Electronic check,No,1,Yes,Yes,Yes
CUST00145,33.0,Male,1,87.17,1087.91,Month-to-month,Fiber optic,Credit card,Yes,2,Yes,No,No
CUST00146,20.0,Female,10,63.15,7540.31,Month-to-month,DSL,Credit card,No,3,Yes,Yes,Yes
CUST00147,49.0,Male,7,31.58,2660.25,Month-to-month,DSL,Credit card,No,0,No,Yes,No
CUST00148,44.0,Male,8,30.3,2863.76,Month-to-month,Fiber optic,Electronic check,No,3,No,Yes,Yes
CUST00149,21.0,Male,3,95.43,3414.62,Month-to-month,Fiber optic,Credit card,No,1,No,Yes,No
CUST00150,32.0,Female,3,42.11,1426.02,One year,No,Mailed check,No,5,Yes,Yes,Yes
CUST00151,64.0,Male,4,22.83,1032.57,Month-to-month,Fiber optic,Mailed check,No,2,No,No,No
CUST00152,30.0,Female,1,117.94,1734.54,Month-to-month,No,Electronic check,Yes,0,Yes,No,No
CUST00153,25.0,Male,6,118.02,8655.39,Month-to-month,No,Mailed check,Yes,2,Yes,Yes,No
CUST00154,43.0,Male,4,57.82,2774.64,Month-to-month,Fiber optic,Credit card,No,6,Yes,No,No
CUST00155,68.0,Male,5,22.57,1361.19,Month-to-month,No,Bank transfer,Yes,3,Yes,No,No
CUST00156,30.0,Female,3,92.72,3344.04,Month-to-month,Fiber optic,Bank transfer,No,1,No,No,No
CUST00157,52.0,Female,7,103.09,8906.06,One year,DSL,Credit card,No,2,No,No,No
CUST00158,57.0,Male,7,32.52,2784.76,Month-to-month,DSL,Mailed check,Yes,2,Yes,Yes,No
CUST00159,30.0,Female,4,33.56,1575.69,Month-to-month,DSL,Credit card,No,0,Yes,No,No
CUST00160,55.0,Female,5,102.21,5959.75,Two year,No,Bank transfer,No,1,Yes,No,No
CUST00161,37.0,Male,2,112.17,2400.43,One year,Fiber optic,Bank transfer,Yes,2,Yes,Yes,No
CUST00162,50.0,Female,0,99.06,385.03,One year,Fiber optic,Electronic check,No,2,No,Yes,No
CUST00163,50.0,Male,8,40.09,3845.91,Two year,DSL,Bank transfer,No,1,Yes,No,No
CUST00164,45.0,Female,8,61.16,5761.81,Month-to-month,Fiber optic,Electronic check,No,3,No,No,Yes
CUST00165,23.0,Female,2,80.08,1831.78,Two year,DSL,Mailed check,No,2,Yes,No,No
CUST00166,61.0,Female,3,36.04,1218.25,Two year,No,Credit card,Yes,1,No,Yes,No
CUST00167,34.0,Female,6,41.07,3061.37,Month-to-month,No,Electronic check,No,1,No,No,No
CUST00168,28.0,Male,1,48.3,444.45,Two year,Fiber optic,Credit card,Yes,2,Yes,No,Yes
CUST00169,20.0,Female,2,70.95,1639.74,Two year,DSL,Electronic check,Yes,3,Yes,No,No
CUST00170,48.0,Male,5,71.08,4161.66,Two year,DSL,Mailed check,No,3,Yes,Yes,Yes
CUST00171,53.0,Male,10,101.42,11870.83,One year,DSL,Mailed check,No,1,Yes,No,No
CUST00172,19.0,Female,7,95.29,8249.48,One year,DSL,Electronic check,No,2,No,Yes,Yes
CUST00173,44.0,Female,0,111.36,543.61,Month-to-month,No,Electronic check,No,4,Yes,Yes,Yes
CUST00174,30.0,Female,3,103.28,3719.38,One year,DSL,Mailed check,No,1,Yes,Yes,No
CUST00175,51.0,Male,0,45.4,294.89,Month-to-month,Fiber optic,Credit card,Yes,1,Yes,No,No
CUST00176,27.0,Female,1,53.14,672.86,Month-to-month,Fiber optic,Mailed check,No,3,Yes,Yes,Yes
CUST00177,53.0,Female,7,70.04,5866.85,Two year,Fiber optic,Credit card,Yes,1,No,Yes,Yes
CUST00178,38.0,Male,5,21.45,1298.87,Month-to-month,DSL,Electronic check,No,1,No,No,No
CUST00179,66.0,Male,8,110.37,10762.64,Two year,No,Credit card,No,0,Yes,Yes,Yes
CUST00180,25.0,Male,1,24.45,359.76,Month-to-month,Fiber optic,Electronic check,No,1,No,No,No
CUST00181,35.0,Male,2,52.25,1303.26,Month-to-month,Fiber optic,Credit card,No,2,Yes,Yes,No
CUST00182,24.0,Female,8,76.91,7366.38,One year,DSL,Electronic check,Yes,0,No,No,No
CUST00183,65.0,Female,8,71.78,6867.35,Month-to-month,No,Bank transfer,No,4,Yes,Yes,No
CUST00184,63.0,Female,5,85.44,5233.97,Two year,DSL,Bank transfer,No,2,No,No,No
CUST00185,31.0,Female,2,72.75,1801.47,Month-to-month,Fiber optic,Mailed check,No,2,Yes,No,No
CUST00186,52.0,Male,4,42.91,2039.23,Month-to-month,Fiber optic,Mailed check,No,1,Yes,Yes,Yes
CUST00187,60.0,Female,1,40.12,441.93,Month-to-month,DSL,Electronic check,No,3,No,Yes,Yes
CUST00188,46.0,Male,6,110.71,8298.58,Month-to-month,DSL,Credit card,No,2,No,Yes,No
CUST00189,45.0,Female,9,46.41,5086.15,Month-to-month,No,Electronic check,No,3,No,Yes,No
CUST00190,30.0,Male,10,48.11,5688.14,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00191,23.0,Female,7,61.3,5072.66,One year,Fiber optic,Bank transfer,No,3,No,Yes,Yes
CUST00192,64.0,Male,5,33.96,2117.71,Month-to-month,Fiber optic,Electronic check,Yes,2,Yes,No,No
CUST00193,64.0,Male,7,70.73,6009.32,Month-to-month,DSL,Bank transfer,No,3,No,No,No
CUST00194,50.0,Female,1,86.5,939.74,Two year,DSL,Mailed check,No,2,No,No,Yes
CUST00195,35.0,Male,2,98.59,2285.8,One year,DSL,Electronic check,No,0,Yes,Yes,No
CUST00196,36.0,Female,6,91.14,6495.65,Month-to-month,Fiber optic,Mailed check,No,0,Yes,No,No
CUST00197,55.0,Male,9,34.78,3690.53,One year,Fiber optic,Mailed check,No,5,No,No,No
CUST00198,,Female,0,65.61,398.05,Two year,No,Mailed check,No,1,Yes,Yes,No
CUST00199,63.0,Male,6,23.88,1757.2,Two year,Fiber optic,Bank transfer,Yes,3,Yes,No,Yes
CUST00200,58.0,Male,5,21.8,1316.32,Two year,No,Credit card,No,1,No,Yes,Yes
CUST00201,51.0,Male,7,64.02,5437.19,Month-to-month,DSL,Credit card,No,2,Yes,Yes,No
CUST00202,22.0,Male,6,45.31,3287.96,Month-to-month,Fiber optic,Credit card,No,3,Yes,Yes,No
CUST00203,26.0,Male,3,88.33,2946.06,Month-to-month,DSL,Mailed check,No,1,Yes,No,No
CUST00204,64.0,Male,2,92.42,2044.99,Two year,DSL,Electronic check,Yes,3,No,No,No
CUST00205,49.0,Male,2,109.52,2530.25,Month-to-month,Fiber optic,Mailed check,No,3,Yes,Yes,No
CUST00206,18.0,Male,3,96.06,3682.42,One year,Fiber optic,Mailed check,No,2,No,Yes,Yes
CUST00207,23.0,Female,8,24.84,2362.33,Two year,DSL,Electronic check,No,2,No,Yes,No
CUST00208,52.0,Female,8,57.17,5428.77,One year,Fiber optic,Credit card,Yes,0,Yes,Yes,No
CUST00209,18.0,Male,1,47.31,448.68,Month-to-month,Fiber optic,Credit card,No,2,No,No,Yes
CUST00210,26.0,Female,4,58.62,2979.69,Month-to-month,No,Credit card,No,0,No,Yes,Yes
CUST00211,46.0,Female,0,36.02,276.33,Month-to-month,DSL,Mailed check,No,1,Yes,Yes,Yes
CUST00212,53.0,Male,3,29.79,1119.84,Month-to-month,DSL,Mailed check,No,4,Yes,Yes,Yes
CUST00213,51.0,Female,1,72.1,814.86,Month-to-month,Fiber optic,Bank transfer,No,2,No,No,No
CUST00214,29.0,Male,7,92.03,7497.65,Two year,Fiber optic,Credit card,No,3,Yes,Yes,No
CUST00215,54.0,Female,3,90.18,3118.63,Two year,Fiber optic,Mailed check,No,2,Yes,Yes,No
CUST00216,30.0,Male,4,65.1,3262.46,One year,Fiber optic,Bank transfer,No,1,Yes,No,No
CUST00217,35.0,Female,10,72.23,8528.69,One year,No,Mailed check,No,2,No,No,No
CUST00218,56.0,Female,3,71.63,2748.21,One year,Fiber optic,Mailed check,No,3,Yes,No,Yes
CUST00219,51.0,Male,4,89.15,4298.29,Month-to-month,Fiber optic,Credit card,No,0,No,Yes,Yes
CUST00220,61.0,Male,4,24.81,1222.85,Month-to-month,Fiber optic,Electronic check,No,3,Yes,Yes,No
CUST00221,52.0,Female,4,90.98,4341.79,Month-to-month,No,Mailed check,No,2,Yes,No,Yes
CUST00222,47.0,Male,10,78.22,9588.9,Two year,DSL,Mailed check,No,0,No,No,Yes
CUST00223,23.0,Female,2,39.82,893.55,Two year,Fiber optic,Mailed check,Yes,2,Yes,No,No
CUST00224,37.0,Female,6,24.92,1805.35,Month-to-month,Fiber optic,Credit card,No,1,Yes,No,No
CUST00225,32.0,Female,2,30.87,661.04,Month-to-month,DSL,Mailed check,No,1,Yes,Yes,No
CUST00226,30.0,Female,1,72.47,861.11,Month-to-month,Fiber optic,Bank transfer,No,3,Yes,Yes,Yes
CUST00227,68.0,Female,2,95.83,2571.74,Month-to-month,DSL,Credit card,No,4,Yes,Yes,Yes
CUST00228,38.0,Female,10,53.47,6284.54,One year,DSL,Bank transfer,No,3,Yes,Yes,No
CUST00229,63.0,Male,2,57.92,1392.35,Two year,No,Credit card,No,3,Yes,No,No
CUST00230,50.0,Male,7,113.4,9594.98,Two year,DSL,Mailed check,No,4,Yes,No,No
CUST00231,59.0,Male,3,41.31,1594.28,One year,Fiber optic,Mailed check,No,4,Yes,Yes,No
CUST00232,44.0,Female,2,30.39,692.44,Month-to-month,DSL,Bank transfer,Yes,0,No,Yes,No
CUST00233,47.0,Female,9,54.35,5870.46,Two year,Fiber optic,Bank transfer,No,2,Yes,No,No
CUST00234,43.0,Male,4,94.58,4816.43,Two year,DSL,Credit card,No,0,No,Yes,No
CUST00235,28.0,Female,3,82.6,3107.03,Month-to-month,Fiber optic,Credit card,No,2,No,No,No
CUST00236,55.0,Male,8,61.58,6026.66,Month-to-month,No,Electronic check,No,4,Yes,Yes,Yes
CUST00237,32.0,Male,7,116.46,9978.36,Two year,DSL,Electronic check,Yes,1,Yes,Yes,No
CUST00238,19.0,Female,10,93.49,11227.37,Month-to-month,DSL,Electronic check,No,2,Yes,No,Yes
CUST00239,51.0,Male,6,26.2,1876.34,One year,Fiber optic,Mailed check,No,2,No,No,No
CUST00240,27.0,Female,7,94.45,7795.13,Month-to-month,DSL,Bank transfer,No,1,No,No,No
CUST00241,66.0,Male,4,22.42,1071.72,Two year,DSL,Bank transfer,Yes,1,Yes,No,Yes
CUST00242,67.0,Female,3,85.03,2816.33,One year,DSL,Electronic check,Yes,2,Yes,No,Yes
CUST00243,65.0,Female,6,41.06,2857.05,One year,Fiber optic,Electronic check,No,1,Yes,Yes,No
CUST00244,37.0,Male,0,89.64,423.4,Two year,No,Credit card,No,2,No,Yes,No
CUST00245,19.0,Female,5,50.99,3008.24,Two year,Fiber optic,Electronic check,No,2,Yes,Yes,No
CUST00246,65.0,Female,7,107.29,9145.58,Two year,Fiber optic,Bank transfer,No,2,Yes,Yes,No
CUST00247,40.0,Male,6,53.7,3760.44,Month-to-month,DSL,Credit card,No,0,No,No,Yes
CUST00248,67.0,Male,1,81.96,1129.04,Month-to-month,No,Electronic check,No,2,No,Yes,No
CUST00249,67.0,Female,6,,3587.01,Month-to-month,DSL,Mailed check,Yes,0,Yes,Yes,No
CUST00250,62.0,Male,5,111.71,6760.66,Month-to-month,No,Electronic check,No,4,No,Yes,No
CUST00251,33.0,Male,4,98.09,4703.24,Two year,DSL,Mailed check,No,1,No,No,Yes
CUST00252,38.0,Male,3,44.34,1587.59,Two year,No,Electronic check,Yes,4,No,Yes,No
CUST00253,61.0,Male,0,114.86,634.41,One year,Fiber optic,Credit card,Yes,3,No,Yes,No
CUST00254,34.0,Female,1,55.72,531.11,Month-to-month,DSL,Mailed check,No,3,No,Yes,No
CUST00255,27.0,Male,6,85.18,6212.43,Month-to-month,No,Mailed check,Yes,1,No,No,No
CUST00256,46.0,Male,9,94.28,10225.49,Month-to-month,DSL,Credit card,No,1,No,Yes,No
CUST00257,66.0,Male,2,22.31,470.61,Month-to-month,Fiber optic,Mailed check,No,2,Yes,No,Yes
CUST00258,53.0,Male,4,115.88,5355.46,One year,No,Credit card,No,0,No,No,No
CUST00259,47.0,Female,7,54.45,4553.03,One year,DSL,Electronic check,No,4,No,No,Yes
CUST00260,23.0,Male,7,38.99,3369.07,Two year,DSL,Credit card,No,1,No,Yes,Yes
CUST00261,49.0,Female,5,105.06,6612.45,Month-to-month,Fiber optic,Credit card,Yes,7,Yes,Yes,No
